City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
196,Marzuq,YE,14.4,46.47,63.03,70,0,1.28,clear sky
197,Jand,PK,33.43,72.02,57.9,42,97,0.83,overcast clouds
198,Bagdarin,RU,54.43,113.6,0.21,84,99,3.49,overcast clouds
199,Stolin,BY,51.89,26.85,27.37,86,0,15.3,clear sky
200,Innisfail,AU,-17.53,146.03,83.25,56,80,4.45,broken clouds
201,Sokolniki,PL,50.64,21.81,36.0,84,36,11.01,scattered clouds
202,Darnah,LY,32.77,22.64,66.24,44,4,12.46,clear sky
203,Sao Felix Do Xingu,BR,-6.64,-51.99,75.33,91,100,1.21,overcast clouds
204,Maloy,NO,61.94,5.11,37.4,69,94,6.93,overcast clouds
205,Riyadh,SA,24.69,46.72,55.4,76,0,3.36,clear sky
206,Tarrafal,CV,15.28,-23.77,73.4,73,20,16.11,few clouds
207,Tabuk,PH,17.42,121.44,74.26,90,57,2.13,broken clouds
208,Korsakov,RU,46.63,142.78,23.0,92,75,2.24,light shower snow
209,Troitskoye,RU,52.98,84.68,4.5,93,99,3.89,overcast clouds
210,Tiznit,MA,29.58,-9.5,52.99,60,0,4.05,clear sky
211,Fortuna,US,40.6,-124.16,57.0,73,31,3.0,scattered clouds
212,Kozienice,PL,51.58,21.55,39.0,97,100,18.52,overcast clouds
213,Port Lincoln,AU,-34.73,135.87,58.46,63,64,22.39,broken clouds
214,Palu,ID,-0.89,119.87,77.74,76,100,2.86,overcast clouds
215,San Cristobal,VE,7.77,-72.22,84.2,66,40,8.05,light rain
216,Morehead,US,37.27,-87.18,42.8,65,90,6.93,overcast clouds
217,Port Elizabeth,ZA,-33.92,25.57,68.0,88,90,18.34,light rain
218,Bulgan,MN,48.81,103.53,1.15,80,0,3.13,clear sky
219,Buin,CL,-33.73,-70.75,82.4,23,0,9.17,clear sky
220,Zhangye,CN,38.93,100.45,16.5,87,6,2.82,clear sky
221,Guerrero Negro,MX,27.98,-114.06,73.62,23,41,11.81,scattered clouds
222,Oranjestad,AW,12.52,-70.03,82.4,78,20,17.22,few clouds
223,Andros Town,BS,24.7,-77.77,75.2,78,75,8.05,broken clouds
224,Bereda,ES,43.27,-7.54,51.01,100,100,5.01,overcast clouds
225,Evensk,RU,61.95,159.23,7.16,85,100,3.65,overcast clouds
226,Port Macquarie,AU,-31.43,152.92,80.01,50,97,1.99,overcast clouds
227,Hilton Head Island,US,32.22,-80.75,57.99,67,40,4.61,scattered clouds
228,Saint-Pierre,RE,-21.34,55.48,75.2,73,0,5.82,clear sky
229,Mankono,CI,8.06,-6.19,78.13,57,0,4.14,clear sky
230,Airai,TL,-8.93,125.41,65.25,100,100,0.78,overcast clouds
231,Labuhan,ID,-6.88,112.21,80.22,85,98,11.7,overcast clouds
232,Hobyo,SO,5.35,48.53,78.55,75,0,7.9,clear sky
233,Yar-Sale,RU,66.83,70.83,25.74,96,69,20.09,broken clouds
