City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
200,Raha,IN,2020-12-02 3:46,26.23,92.52,71.89,74,5,4.92
201,Great Yarmouth,GB,2020-12-02 3:46,52.61,1.73,42.01,93,84,3.36
202,Mantua,IT,2020-12-02 3:46,45.17,10.78,36,93,100,8.01
203,Mafinga,TZ,2020-12-02 3:46,-7.25,35.07,71.87,75,94,1.59
204,Chuncheng,CN,2020-12-02 3:46,22.17,111.79,73,43,0,9.15
205,Thunder Bay,CA,2020-12-02 3:46,48.4,-89.32,14,100,5,3.36
206,Chuy,UY,2020-12-02 3:46,-33.7,-53.46,60.67,89,30,7.9
207,Naryan-Mar,RU,2020-12-02 3:46,67.67,53.09,26.22,96,96,23.04
208,Coihaique,CL,2020-12-02 3:46,-45.58,-72.07,44.6,75,90,4.7
209,Naze,JP,2020-12-02 3:46,28.37,129.48,71.6,78,75,10.29
210,Richards Bay,ZA,2020-12-02 3:46,-28.78,32.04,67.03,78,97,14.12
211,Cidreira,BR,2020-12-02 3:45,-30.18,-50.21,70.02,84,82,17.6
212,Rayagada,IN,2020-12-02 3:46,19.17,83.42,76.39,53,99,2.77
213,Callaway,US,2020-12-02 3:46,30.15,-85.57,41,60,1,4.59
214,Merauke,ID,2020-12-02 3:46,-8.47,140.33,86.27,72,100,8.95
215,Kaitangata,NZ,2020-12-02 3:46,-46.28,169.85,64.99,45,63,5.01
216,Mareeba,AU,2020-12-02 3:46,-17,145.43,90,55,40,10.29
217,Novopskov,UA,2020-12-02 3:46,49.55,39.09,21.65,93,21,11.1
218,Hilo,US,2020-12-02 3:46,19.73,-155.09,77,65,20,3.36
219,Cradock,ZA,2020-12-02 3:42,-32.16,25.62,48.33,62,57,7.99
220,Pangai,TO,2020-12-02 3:46,-19.8,-174.35,80.6,78,40,5.82
221,Christchurch,NZ,2020-12-02 3:46,-43.53,172.63,75.2,25,77,9.17
222,Namibe,AO,2020-12-02 3:46,-15.2,12.15,68.45,70,53,4.68
223,Rapid Valley,US,2020-12-02 3:46,44.06,-103.15,32,90,90,29.97
224,Abastumani,GE,2020-12-02 3:46,41.71,42.85,48.2,92,40,9.17
225,Natal,BR,2020-12-02 3:46,-5.79,-35.21,78.8,78,40,11.41
226,Port Hedland,AU,2020-12-02 3:46,-20.32,118.57,102.2,31,29,16.11
227,Hofn,IS,2020-12-02 3:46,64.25,-15.21,38.26,74,0,14.47
228,Mitu,CO,2020-12-02 3:46,1.2,-70.17,72.18,97,95,1.66
229,Wewak,PG,2020-12-02 3:46,-3.55,143.63,82.38,77,77,1.32
230,Marawi,PH,2020-12-02 3:46,8,124.29,84.99,78,91,4
231,Vung Tau,VN,2020-12-02 3:44,10.35,107.08,83.12,71,27,25.26
232,Cakovec,HR,2020-12-02 3:46,46.38,16.43,30,73,100,1.01
233,Caravelas,BR,2020-12-02 3:46,-17.71,-39.25,75.42,88,35,7.36
234,Bandarbeyla,SO,2020-12-02 3:46,9.49,50.81,77.02,78,37,7.31
235,Dingle,PH,2020-12-02 3:46,11,122.67,83.68,81,100,9.98
236,Klyuchi,RU,2020-12-02 3:46,52.27,79.17,1.54,93,53,3.4
237,Bitam,GA,2020-12-02 3:46,2.08,11.5,69.35,93,86,4.14
238,Guerrero Negro,MX,2020-12-02 3:46,27.98,-114.06,60.93,63,0,6.73
239,Yeniseysk,RU,2020-12-02 3:46,58.45,92.17,4.95,94,96,4.21
240,Huari,PE,2020-12-02 3:46,-9.33,-77.23,40.84,94,100,0.31
241,Calvinia,ZA,2020-12-02 3:46,-31.47,19.78,50.18,68,0,4.99
242,Asau,RO,2020-12-02 3:46,46.43,26.4,30.2,80,90,3.36
243,Key West,US,2020-12-02 3:42,24.56,-81.78,64.4,63,1,9.17
244,Kabompo,ZM,2020-12-02 3:46,-13.59,24.2,65.37,98,100,4.45
245,Ixtapa,MX,2020-12-02 3:46,20.7,-105.2,77,83,75,0.51
246,Skjervoy,NO,2020-12-02 3:46,70.03,20.97,36.01,76,100,16.82
247,Buraydah,SA,2020-12-02 3:46,26.33,43.98,60.8,100,40,8.05
248,Gizo,SB,2020-12-02 3:46,-8.1,156.84,85.93,66,99,5.32
249,Esperance,AU,2020-12-02 3:46,-33.87,121.9,73.4,33,39,11.41
250,Saint George,US,2020-12-02 3:44,37.1,-113.58,48.2,23,1,17.22
251,Cockburn Town,TC,2020-12-02 3:46,21.46,-71.14,78.85,63,44,6.26
252,Oussouye,SN,2020-12-02 3:46,12.48,-16.55,75.2,94,0,4.7
253,Kahului,US,2020-12-02 3:46,20.89,-156.47,78.8,57,20,16.11
254,Nantucket,US,2020-12-02 3:43,41.28,-70.1,48.2,70,90,20.8
255,Mitsamiouli,KM,2020-12-02 3:46,-11.38,43.28,80.71,79,90,12.48
256,Resistencia,AR,2020-12-02 3:46,-27.46,-58.98,80.01,78,0,3.36
257,Celaliye,TR,2020-12-02 3:46,41.05,28.42,43,86,75,12.75
258,Saskylakh,RU,2020-12-02 3:46,71.92,114.08,9.45,95,94,6.69
259,Jalu,LY,2020-12-02 3:46,29.03,21.55,54.88,87,0,6.8
260,Torbay,CA,2020-12-02 3:46,47.67,-52.73,44.01,93,90,19.46
261,Gauribidanur,IN,2020-12-02 3:46,13.61,77.52,64.4,100,59,4.7
262,Whitehorse,CA,2020-12-02 3:46,60.72,-135.05,33.8,94,90,18.34
263,Ostrov,RU,2020-12-02 3:46,57.34,28.35,32,97,90,6.71
264,Husavik,IS,2020-12-02 3:46,66.04,-17.34,37.4,69,90,16.11
265,Pembroke,CA,2020-12-02 3:46,45.82,-77.12,28.4,92,90,6.93
266,Puno,PE,2020-12-02 3:46,-15.83,-70.03,47.44,71,100,5.59
267,Angoram,PG,2020-12-02 3:46,-4.06,144.07,80.47,92,92,1.54
268,Pangnirtung,CA,2020-12-02 3:46,66.15,-65.71,5.52,82,54,5.3
269,Ormara,PK,2020-12-02 3:46,25.21,64.64,76.26,39,0,6.31
270,Tabou,CI,2020-12-02 3:46,4.42,-7.35,77.4,85,36,4.65
271,Kruisfontein,ZA,2020-12-02 3:45,-34,24.73,55.99,92,20,8.48
272,Pisco,PE,2020-12-02 3:46,-13.7,-76.22,66.2,82,0,10.29
273,Dzierzoniow,PL,2020-12-02 3:46,50.73,16.65,28,54,0,3.24
274,Narsaq,GL,2020-12-02 3:46,60.92,-46.05,12.2,51,26,8.05
275,Wladyslawowo,PL,2020-12-02 3:46,54.79,18.4,30,92,4,6.93
276,Bengkulu,ID,2020-12-02 3:46,-3.8,102.27,83.84,61,25,5.35
277,Sepolno Krajenskie,PL,2020-12-02 3:46,53.45,17.53,34,92,8,6.93
278,Udachnyy,RU,2020-12-02 3:46,66.42,112.4,14,92,75,13.42
279,Puerto Carreno,CO,2020-12-02 3:46,6.19,-67.49,75.99,92,100,0.18
280,Miquelon,PM,2020-12-02 3:46,47.1,-56.38,44.19,90,91,20.18
281,Lagoa,PT,2020-12-02 3:44,39.05,-27.98,62.26,78,99,33.22
282,Rio De Jesus,PA,2020-12-02 3:46,7.98,-81.16,73.6,93,100,2.46
283,Genhe,CN,2020-12-02 3:46,50.78,121.52,4.17,84,3,3.49
284,Bubaque,GW,2020-12-02 3:46,11.28,-15.83,80.69,64,100,14.2
285,Yenangyaung,MM,2020-12-02 3:46,20.47,94.88,80.17,55,37,6.22
286,Mandalgovi,MN,2020-12-02 3:46,45.76,106.27,6.35,85,0,6.58
287,Vakhrushev,RU,2020-12-02 3:46,48.98,142.97,21.51,84,83,12.95
288,Tyukhtet,RU,2020-12-02 3:46,56.54,89.3,6.78,94,100,6.35
289,Evensk,RU,2020-12-02 3:43,61.95,159.23,-4.86,74,23,3.8
290,Sakakah,SA,2020-12-02 3:46,29.97,40.21,59,82,75,5.82
291,Abha,SA,2020-12-02 3:47,18.22,42.51,51.8,93,20,3.02
292,Ode,NG,2020-12-02 3:47,7.79,5.71,67.91,96,0,2.91
293,Pauini,BR,2020-12-02 3:47,-7.71,-66.98,75.49,76,84,1.57
