City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
414,Sassandra,CI,77.5,clear sky,4.95,-6.08,la terrasse
422,Namatanai,PG,84.11,light rain,-3.67,152.43,Namatanai Hotel
426,Belmonte,BR,78.8,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
430,Sharjah,AE,75.2,clear sky,25.36,55.4,Swiss Belhotel Sharjah
431,Pimenteiras,BR,83.98,broken clouds,-6.25,-41.42,Hotel Central
432,Vao,NC,76.93,scattered clouds,-22.67,167.48,Hotel Kou-Bugny
434,Ailigandi,PA,80.55,broken clouds,9.23,-78.02,Akwa Reef Lodge
439,Gizo,SB,85.28,scattered clouds,-8.1,156.84,Imagination Island
441,Lodwar,KE,83.84,clear sky,3.12,35.6,Turkwel Lodge
443,Manggar,ID,80.51,moderate rain,-2.88,108.27,Guest Hotel
444,Sao Gabriel Da Cachoeira,BR,75.33,scattered clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
446,Marawi,PH,75.0,overcast clouds,8.0,124.29,Derogongan Residence
458,Isangel,VU,84.2,broken clouds,-19.55,169.27,Volcano Sea View Tree House
459,Lazaro Cardenas,MX,82.09,few clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
460,Soyo,AO,77.86,light rain,-6.13,12.37,Hotel Mpampa
465,Hervey Bay,AU,84.99,scattered clouds,-25.3,152.85,Shelly Bay Resort
467,Matara,LK,75.02,broken clouds,5.95,80.54,Amaloh Boutique Resort
474,Saquarema,BR,75.2,broken clouds,-22.92,-42.51,Hotel Fazenda Sol e Lua
480,Alugan,PH,81.84,heavy intensity rain,12.22,125.48,JM Lodge
485,Meulaboh,ID,76.19,overcast clouds,4.14,96.13,Kost Pria
486,Sao Joao Da Barra,BR,75.27,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
488,Barras,BR,81.79,moderate rain,-4.24,-42.29,DIMAS HOTEL
489,Cabedelo,BR,78.8,few clouds,-6.98,-34.83,Lua Mansa Pousada
494,Teahupoo,PF,78.8,overcast clouds,-17.83,-149.27,Vanira Lodge
495,Touros,BR,78.8,scattered clouds,-5.2,-35.46,INN NEW HORIZON
497,Panaba,MX,76.1,moderate rain,21.28,-88.27,Hotel Amor
498,Vila Velha,BR,78.8,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
502,Pandan,PH,80.69,light rain,14.05,124.17,Bonifacio Lodge
514,Onitsha,NG,77.11,few clouds,6.15,6.79,Dolly Hills Hotel
517,Nabire,ID,79.18,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
519,Charters Towers,AU,84.7,few clouds,-20.1,146.27,Cattleman's Rest Motor Inn
524,Honiara,SB,87.8,light rain,-9.43,159.95,Heritage Park Hotel
525,Cockburn Town,TC,79.32,scattered clouds,21.46,-71.14,Osprey Beach Hotel
528,Vista Alegre,PA,80.6,drizzle,8.93,-79.7,Mirasur Resort
529,Kupang,ID,77.0,moderate rain,-10.17,123.58,Sylvia Hotel Premier Kupang
535,Kloulklubed,PW,78.8,shower rain,7.04,134.26,Storyboard Beach Resort
537,Saint-Georges,GD,78.8,few clouds,12.06,-61.75,Siesta Hotel
539,Kavaratti,IN,82.45,light rain,10.57,72.64,Hotels in Lakshadweep Islands
549,Mareeba,AU,87.01,broken clouds,-17.0,145.43,Trinity Plains Tourist Park
553,Ugoofaaru,MV,81.66,scattered clouds,5.67,73.0,Ungoofaaru Inn
565,Amatenango Del Valle,MX,77.0,light rain,16.52,-92.45,Quinta mi ilusión
568,West Bay,KY,84.2,few clouds,19.37,-81.42,Calypso Cove
570,Cairns,AU,87.01,broken clouds,-16.92,145.77,Mantra Trilogy Cairns
574,Acajutla,SV,84.2,clear sky,13.59,-89.83,Stop.
576,Caravelas,BR,75.78,scattered clouds,-17.71,-39.25,Pousada dos Navegantes
578,Aracati,BR,80.55,overcast clouds,-4.56,-37.77,Motel Pousada Milleniun - Aracati-CE
